Species,Barcode,State,Variegation,Long_petiole_hair,Short_petiole_hair,Upper_lamina_hair,Tooth_length,Tooth_Width,Flower_length,Hypanthium_long,Hypanthium_short,Flower_width,Stamen_length,Style_length,Pedicel_lengths,Cymule_branches,Thyrse_length
Heuchera americana var. hirsuticaulis,E1528,Arkansas,None,1.196,0.845,0.000,1.303,3.513,4.158,1.471,1.230,1.720,5.219,3.254,1.598,8.400,
Heuchera americana var. hirsuticaulis,E1526,Arkansas,None,1.037,0.333,0.000,2.120,4.711,3.759,1.353,1.350,2.570,3.082,4.079,1.522,9.539,557.824
Heuchera americana var. hirsuticaulis,E1526,Arkansas,None,1.090,0.439,0.000,2.196,5.397,3.591,1.522,1.326,2.154,3.552,2.834,1.177,11.338,
Heuchera americana var. hirsuticaulis,E1526,Arkansas,None,1.037,0.608,0.000,1.094,3.513,3.967,1.629,1.534,2.133,5.112,2.819,1.377,7.474,
Heuchera americana var. hirsuticaulis,E1698,Illinois,None,0.996,0.503,0.000,1.834,5.018,3.732,1.453,1.138,2.201,2.670,2.220,1.657,35.668,831.839
Heuchera americana var. hirsuticaulis,E1698,Illinois,None,0.938,0.830,0.000,2.667,6.881,3.711,1.343,1.114,2.234,2.218,2.341,2.082,29.281,776.706
Heuchera americana var. hirsuticaulis,E1698,Illinois,None,0.954,0.450,0.000,2.898,3.513,,,,,2.564,,1.738,21.696,
Heuchera americana var. hirsuticaulis,E1697,Illinois,None,1.484,0.958,0.000,0.839,2.794,,,,,,,5.071,16.716,
Heuchera americana var. hirsuticaulis,E1697,Illinois,None,1.377,0.744,0.000,1.065,2.966,,,,,,,4.007,,
Heuchera americana var. hirsuticaulis,E1697,Illinois,None,1.359,0.539,0.000,1.014,3.513,,,,,,,3.542,,
Heuchera americana var. hirsuticaulis,E1695,Illinois,None,1.411,0.689,0.000,2.343,6.475,,,,,,,,,
Heuchera americana var. hirsuticaulis,E1695,Illinois,None,1.269,0.638,0.000,1.121,4.529,,,,,,,,,
Heuchera americana var. hirsuticaulis,E1695,Illinois,None,1.579,0.460,0.000,2.040,7.357,,,,,,,,,
Heuchera americana var. hirsuticaulis,E1700,Indiana,None,1.514,0.792,0.000,4.044,5.264,4.122,1.399,1.092,2.901,3.000,4.766,3.467,15.698,629.752
Heuchera americana var. hirsuticaulis,E1700,Indiana,None,1.323,0.927,0.000,2.791,5.667,3.707,1.139,0.676,2.337,3.924,4.966,3.240,17.619,
Heuchera americana var. hirsuticaulis,E1700,Indiana,None,1.529,0.994,0.000,3.385,6.971,3.592,0.823,0.793,3.084,3.666,4.049,2.825,22.267,
Heuchera americana var. hirsuticaulis,E1702,Indiana,None,1.504,0.707,0.000,2.772,7.635,4.985,1.146,1.144,3.102,3.420,5.039,4.095,12.566,627.891
Heuchera americana var. hirsuticaulis,E1702,Indiana,None,1.853,0.892,0.000,2.378,8.133,4.419,1.306,0.819,3.196,2.935,5.347,4.222,9.632,679.411
Heuchera americana var. hirsuticaulis,E1702,Indiana,None,1.333,0.852,0.000,2.627,6.947,4.675,1.153,0.785,2.811,2.776,4.112,8.172,10.941,
Heuchera americana var. hirsuticaulis,E1699,Indiana,None,1.408,0.629,0.000,1.922,6.696,3.680,0.930,0.581,3.239,3.751,4.053,2.450,41.173,859.028
Heuchera americana var. hirsuticaulis,E1699,Indiana,None,1.193,0.615,0.000,1.957,7.235,4.345,2.181,2.158,2.133,3.401,4.772,3.505,16.625,
Heuchera americana var. hirsuticaulis,E1699,Indiana,None,1.274,0.879,0.000,2.031,6.449,3.704,2.257,1.992,2.564,3.766,4.077,3.075,32.503,
Heuchera americana var. hirsuticaulis,E1536,Kentucky,None,3.278,1.083,0.000,2.569,6.911,2.951,0.832,0.661,2.710,2.898,3.419,6.674,24.638,877.442
Heuchera americana var. hirsuticaulis,E1536,Kentucky,None,3.070,1.006,0.000,1.939,5.458,3.227,0.985,0.909,1.845,2.866,3.297,3.539,32.660,
Heuchera americana var. hirsuticaulis,E1536,Kentucky,None,2.997,0.945,0.000,2.029,6.854,3.064,1.308,1.242,1.854,2.933,2.463,6.278,24.473,
Heuchera americana var. hirsuticaulis,E1459,Kentucky,None,1.452,1.165,0.000,1.309,4.485,2.807,1.113,0.742,2.008,2.826,3.436,5.704,25.117,522.527
Heuchera americana var. hirsuticaulis,E1459,Kentucky,None,1.835,1.276,0.000,2.600,4.697,2.902,1.338,0.955,1.379,2.848,2.149,4.811,21.363,711.615
Heuchera americana var. hirsuticaulis,E1459,Kentucky,None,1.459,0.832,0.000,1.933,4.421,3.430,1.198,1.100,2.089,3.138,4.930,4.289,17.055,
Heuchera americana var. hirsuticaulis,E1537,Kentucky,None,1.873,0.841,0.899,1.242,3.382,4.013,0.833,0.682,2.238,3.156,2.534,3.805,16.451,557.098
Heuchera americana var. hirsuticaulis,E1537,Kentucky,None,2.738,0.574,0.930,1.385,5.432,3.084,0.748,0.735,1.916,3.597,2.737,6.624,18.143,
Heuchera americana var. hirsuticaulis,E1537,Kentucky,None,1.718,0.659,0.915,2.057,7.030,3.105,0.875,0.863,1.743,3.848,2.207,7.438,10.857,
Heuchera americana var. hirsuticaulis,E513,Missouri,None,1.428,0.755,0.000,0.929,3.186,3.940,1.214,0.824,2.023,4.193,3.337,4.082,9.990,658.161
Heuchera americana var. hirsuticaulis,E513,Missouri,None,1.742,0.323,0.000,2.435,7.153,3.897,1.381,1.132,1.909,4.215,4.362,5.826,14.857,
Heuchera americana var. hirsuticaulis,E513,Missouri,None,2.100,0.537,0.000,1.293,4.620,4.076,1.456,1.215,2.005,2.637,4.684,6.473,24.419,
Heuchera americana var. hirsuticaulis,E1706,Missouri,None,1.167,0.551,0.000,1.463,5.385,4.325,1.349,1.033,1.938,3.263,3.236,7.435,16.916,781.956
Heuchera americana var. hirsuticaulis,E1706,Missouri,None,1.569,0.815,0.000,1.917,4.371,3.618,0.695,0.546,2.135,3.908,4.149,3.806,8.636,730.744
Heuchera americana var. hirsuticaulis,E1706,Missouri,None,1.385,0.828,0.000,1.611,4.772,,,,,4.946,3.874,3.521,13.015,
Heuchera americana var. hirsuticaulis,E503,Missouri,None,1.712,0.703,0.000,2.139,4.314,5.162,2.442,1.808,2.861,3.422,2.941,4.902,17.943,1052.388
Heuchera americana var. hirsuticaulis,E503,Missouri,None,1.927,0.614,0.000,2.638,5.103,4.798,2.274,2.076,1.851,4.445,2.578,5.708,20.942,
Heuchera americana var. hirsuticaulis,E503,Missouri,None,2.140,0.736,0.000,2.106,3.654,5.726,0.856,0.444,4.287,5.044,3.867,4.476,17.860,
Heuchera americana var. hirsuticaulis,E1710,Oklahoma,None,1.547,0.683,0.000,1.913,4.754,4.171,,,2.361,2.723,4.067,7.715,9.874,448.356
