Species,Barcode,State,Variegation,Long_petiole_hair,Short_petiole_hair,Upper_lamina_hair,Tooth_length,Tooth_Width,Flower_length,Hypanthium_long,Hypanthium_short,Flower_width,Stamen_length,Style_length,Pedicel_lengths,Cymule_branches,Thyrse_length
CALYCOSA,E502,Alabama,None,0.000,0.000,0.000,4.116,1.279,3.709,0.896,0.559,2.392,2.778,3.551,3.607,18.008,655.323
CALYCOSA,E502,Alabama,Low,0.000,0.000,0.000,5.529,2.550,3.390,0.880,0.608,2.551,2.373,3.453,4.005,21.522,
CALYCOSA,E522,Alabama,Low,0.000,0.000,0.000,4.724,1.203,3.211,0.949,0.749,2.463,2.428,2.753,1.644,27.017,936.630
CALYCOSA,E522,Alabama,None,0.000,0.000,0.000,4.327,1.194,2.468,0.816,0.776,1.592,2.478,2.836,2.681,20.802,847.240
CALYCOSA,E522,Alabama,None,0.000,0.000,0.000,3.581,1.045,,,,,2.305,2.687,2.705,25.487,673.393
CALYCOSA,E514,Georgia,None,0.000,0.000,0.000,4.331,1.042,4.008,0.971,,1.952,4.284,3.254,5.446,16.496,892.920
CALYCOSA,E514,Georgia,None,0.000,0.000,0.000,3.833,1.539,4.258,1.617,1.174,2.651,2.975,3.459,3.233,14.373,814.082
CALYCOSA,E514,Georgia,None,0.000,0.000,0.000,3.513,1.516,4.146,1.375,1.114,2.707,3.657,,6.186,10.852,
BREVIPETALA,E512,Tennessee,None,0.000,0.000,0.000,4.399,0.925,3.474,0.967,,1.550,4.107,3.112,3.677,12.242,888.294
BREVIPETALA,E512,Tennessee,None,0.000,0.000,0.000,,,3.802,1.173,0.869,2.404,3.028,3.033,5.336,10.022,
BREVIPETALA,E512,Tennessee,,0.000,0.000,0.000,,,3.256,0.806,0.696,2.533,2.553,3.936,3.975,16.290,
BREVIPETALA,E515,Tennessee,None,0.871,0.479,1.420,4.331,1.042,3.034,1.269,1.262,1.277,2.088,2.537,1.987,24.424,578.251
BREVIPETALA,E515,Tennessee,None,,,,3.833,1.539,2.890,0.494,0.475,2.079,2.173,,2.968,24.019,629.832
BREVIPETALA,E515,Tennessee,,,,,3.513,1.516,,,,,,,,24.904,
BREVIPETALA,E518,Tennessee,None,0.000,0.000,0.000,3.188,1.218,2.624,0.869,0.613,1.596,3.830,,5.921,27.062,1012.704
BREVIPETALA,E518,Tennessee,Low,0.000,0.000,0.000,5.599,2.022,4.003,1.277,1.038,1.616,4.837,2.855,5.333,23.223,
BREVIPETALA,E518,Tennessee,Medium,0.000,0.000,0.000,3.513,1.245,4.032,0.759,0.531,2.808,4.533,1.862,3.596,32.379,
HIRSUTICAULIS,E501,Arkansas,None,0.609,0.434,0.000,4.629,2.099,3.937,2.047,1.678,2.197,3.503,4.199,7.345,31.937,701.474
HIRSUTICAULIS,E501,Arkansas,None,0.681,0.502,0.000,5.157,2.379,3.957,1.512,0.783,2.643,3.655,,3.615,22.692,525.048
HIRSUTICAULIS,E501,Arkansas,None,0.863,0.504,0.000,3.513,1.702,3.717,1.475,1.200,2.563,2.315,3.150,3.071,15.908,
HIRSUTICAULIS,E1528,Arkansas,None,1.556,0.819,0.000,7.223,1.444,3.677,1.961,1.580,1.459,4.560,5.107,1.860,8.157,567.133
HIRSUTICAULIS,E1528,Arkansas,None,1.513,0.766,0.000,6.635,1.687,3.646,1.344,1.174,1.183,3.227,2.196,1.469,7.058,
HIRSUTICAULIS,E1528,Arkansas,None,1.196,0.845,0.000,3.513,1.303,4.158,1.471,1.230,1.720,5.219,3.254,1.598,8.400,
